"incentive_id","title","company_id","company_name","score","rank","explanation"
"1","Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos","246534","IRMANDADE DE SANTA CRUZ","0.3800775110721588",1,"IRMANDADE DE SANTA CRUZ — Organização religiosa com foco em atos de culto católico."
"1","Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos","138484","RARAESQUADRIA - INVESTIMENTOS IMOBILIÁRIOS, S.A.","0.38727276027202606",2,"RARAESQUADRIA - INVESTIMENTOS IMOBILIÁRIOS, S.A. — Atua na compra e venda de imóveis, mas não é uma organização religiosa."
"1","Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos","120292","BONO'S - GESTÃO DE PATRIMÓNIO IMOBILIÁRIO, S.A.","0.3843776285648346",3,"BONO'S - GESTÃO DE PATRIMÓNIO IMOBILIÁRIO, S.A. — Atua na compra e venda de imóveis, mas não é uma organização religiosa."
"1","Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos","230949","ALCAPREDIAL - INVESTIMENTOS E IMOBILIÁRIO, S.A.","0.3814590722322464",4,"ALCAPREDIAL - INVESTIMENTOS E IMOBILIÁRIO, S.A. — Atua na compra e venda de imóveis, mas não é uma organização religiosa."
"1","Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos","43680","CAMPOMILHA - INVESTIMENTOS IMOBILIÁRIOS, S.A.","0.38109607994556427",5,"CAMPOMILHA - INVESTIMENTOS IMOBILIÁRIOS, S.A. — Atua na compra e venda de imóveis, mas não é uma organização religiosa."
"2","Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM","236519","UBIWHERE, LDA","0.42270860536643906",1,"UBIWHERE, LDA — Foco em projetos de telecomunicações e territórios inteligentes, alinhando-se com a digitalização."
"2","Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM","198647","TÍTULOS SUBLIMES - CONSULTORIA, LDA","0.4263793361700776",2,"TÍTULOS SUBLIMES - CONSULTORIA, LDA — Desenvolvimento de projetos de IDI em tecnologias de informação, relevante para smart cities."
"2","Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM","112704","BRIGHT INNOVATION, LDA","0.4400911700616904",3,"BRIGHT INNOVATION, LDA — Atividades na área de tecnologias de informação e serviços administrativos, pertinentes ao incentivo."
"2","Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM","197156","SUCESSOS CRIATIVOS, LDA","0.4298769107497753",4,"SUCESSOS CRIATIVOS, LDA — Consultoria em Sociedade da Informação, importante para a digitalização na administração pública."
"2","Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM","122561","CEIT - CENTRO ESTRATÉGICO DE INOVAÇÃO TERRITORIAL, LDA","0.4210817704005788",5,"CEIT - CENTRO ESTRATÉGICO DE INOVAÇÃO TERRITORIAL, LDA — Consultoria e gestão de comunicação, que pode apoiar a implementação de soluções digitais."
